title,Journal.URL,URL.in.DOAJ,When.did.the.journal.start.to.publish.all.content.using.an.open.license.,Alternative.title,Journal.ISSN..print.version.,Journal.EISSN..online.version.,Keywords,language,Publisher,country,Society.or.institution,Country.of.society.or.institution,license,License.attributes,URL.for.license.terms,Machine.readable.CC.licensing.information.embedded.or.displayed.in.articles,URL.to.an.example.page.with.embedded.licensing.information,Author.holds.copyright.without.restrictions,Copyright.information.URL,Review,Review.process.information.URL,Journal.plagiarism.screening.policy,Plagiarism.information.URL,URL.for.journal.s.aims...scope,URL.for.the.Editorial.Board.page,URL.for.journal.s.instructions.for.authors,Average.number.of.weeks.between.article.submission.and.publication,APC,APC.information.URL,APC.amount,Journal.waiver.policy..for.developing.country.authors.etc.,Waiver.policy.information.URL,Has.other.fees,Other.fees.information.URL,Preservation.Services,Preservation.Service..national.library,Preservation.information.URL,Deposit.policy.directory,URL.for.deposit.policy,Persistent.article.identifiers,Article.metadata.includes.ORCIDs,Journal.complies.with.I4OC.standards.for.open.citations,Does.the.journal.comply.to.DOAJ.s.definition.of.open.access.,URL.for.journal.s.Open.Access.statement,Continues,Continued.By,LCC.Codes,Subjects,DOAJ.Seal,Added.on.Date,Last.updated.Date,Number.of.Article.Records,Most.Recent.Article.Added
Escritos,https://revistas.upb.edu.co/index.php/escritos,https://doaj.org/toc/78a6e46b04e944338630e6daa2541757,2006,,0120-1263,2390-0032,"literature, literary theory, philosophy",Spanish,Universidad Pontificia Bolivariana,Colombia,"Universidad Pontificia Bolivariana, Escuela de Teología, Filosofía y Humanidades",,CC BY-NC,,https://revistas.upb.edu.co/index.php/escritos/about/submissions#copyrightNotice,,,Yes,https://revistas.upb.edu.co/index.php/escritos/about/submissions#copyrightNotice,Blind peer review,https://revistas.upb.edu.co/index.php/escritos/about/editorialPolicies#peerReviewProcess,Yes,https://revistas.upb.edu.co/index.php/escritos/about/editorialPolicies#custom-0,https://revistas.upb.edu.co/index.php/escritos/about/editorialPolicies#focusAndScope,https://revistas.upb.edu.co/index.php/escritos/about/editorialTeam,https://revistas.upb.edu.co/index.php/escritos/about/submissions#authorGuidelines,20,No,https://revistas.upb.edu.co/index.php/escritos/about/editorialPolicies#openAccessPolicy,,No,,No,https://revistas.upb.edu.co/index.php/escritos/about/editorialPolicies#openAccessPolicy,,,,,,,,,Yes,https://revistas.upb.edu.co/index.php/escritos/about/editorialPolicies#openAccessPolicy,,,P1-1091|PN1-6790|B1-5802,Language and Literature: Philology. Linguistics | Language and Literature: Literature (General) | Philosophy. Psychology. Religion: Philosophy (General),No,2019-03-27T20:50:07Z,2019-03-27T20:50:07Z,493,2023-02-17T16:34:17Z
Cuestiones Teológicas,https://revistas.upb.edu.co/index.php/cuestiones/index,https://doaj.org/toc/e59c4d2bb2ae4e18ab111da3c5b76a97,2005,,0120-131X,2389-9980,"theology, bible, pastoral, spirituality",Spanish,Universidad Pontificia Bolivariana,Colombia,Universidad Pontificia Bolivariana,,CC BY-NC,,https://revistas.upb.edu.co/index.php/cuestiones/about/submissions#copyrightNotice,,,Yes,https://revistas.upb.edu.co/index.php/cuestiones/about/submissions#copyrightNotice,Blind peer review,https://revistas.upb.edu.co/index.php/cuestiones/about/editorialPolicies#peerReviewProcess,Yes,https://revistas.upb.edu.co/index.php/cuestiones/about/editorialPolicies#archiving,https://revistas.upb.edu.co/index.php/cuestiones/about/editorialPolicies#focusAndScope,https://revistas.upb.edu.co/index.php/cuestiones/about/editorialTeam,https://revistas.upb.edu.co/index.php/cuestiones/about/submissions#authorGuidelines,20,No,https://revistas.upb.edu.co/index.php/cuestiones/about/editorialPolicies#openAccessPolicy,,No,,No,https://revistas.upb.edu.co/index.php/cuestiones/about/editorialPolicies#openAccessPolicy,,,,,,,,,Yes,https://revistas.upb.edu.co/index.php/cuestiones/about/editorialPolicies#openAccessPolicy,,,BS1-2970|BV1-5099|BT10-1480,Philosophy. Psychology. Religion: The Bible | Philosophy. Psychology. Religion: Practical Theology | Philosophy. Psychology. Religion: Doctrinal Theology,No,2019-03-10T18:00:25Z,2019-03-10T18:00:25Z,781,2022-12-17T16:29:26Z
Boletín Geológico,https://revistas.sgc.gov.co/index.php/boletingeo,https://doaj.org/toc/1ead438e1c034f7e98f80aef3e96872e,2020,,0120-1425,2711-1318,"stratigraphy, sedimentology, geophysics, geochemistry, volcanology, structure and evolution of basins","Spanish, English ",Servicio Geológico Colombiano,Colombia,,,CC BY,,https://revistas.sgc.gov.co/index.php/boletingeo/politica,Yes,https://revistas.sgc.gov.co/index.php/boletingeo/article/view/500/494,No,https://revistas.sgc.gov.co/index.php/boletingeo/about/submissions,Double blind peer review,https://revistas.sgc.gov.co/index.php/boletingeo/arbitraje,Yes,https://revistas.sgc.gov.co/index.php/boletingeo/arbitraje,https://revistas.sgc.gov.co/index.php/boletingeo/politica,https://revistas.sgc.gov.co/index.php/boletingeo/about/editorialTeam,https://revistas.sgc.gov.co/index.php/boletingeo/about/submissions,24,No,https://revistas.sgc.gov.co/index.php/boletingeo/politica,,No,,No,,,,,,,DOI,Yes,No,Yes,https://revistas.sgc.gov.co/index.php/boletingeo/politica,,,QE1-996.5,Science: Geology,No,2021-09-01T09:55:41Z,2022-09-20T07:52:08Z,312,2023-03-15T19:54:38Z
Franciscanum,https://revistas.usb.edu.co/index.php/Franciscanum/index,https://doaj.org/toc/e7d446ab041b4f81991d41866d7a5d7f,2009,Franciscanum : Revista de las Ciencias del Espíritu,0120-1468,2665-3834,"philosophy, theology, religious studies, history of theology, history of philosophy","Spanish, English, Portuguese, French",Universidad de San Buenaventura,Colombia,,,CC BY-SA,,https://revistas.usb.edu.co/index.php/Franciscanum/about,Yes,http://revistas.usb.edu.co/index.php/Franciscanum/article/view/1541/1340,Yes,http://revistas.usb.edu.co/index.php/Franciscanum/about/submissions#copyrightNotice,Double blind peer review,https://revistas.usb.edu.co/index.php/Franciscanum/about,No,,https://revistas.usb.edu.co/index.php/Franciscanum/about,http://revistas.usb.edu.co/index.php/Franciscanum/about/editorialTeam,http://revistas.usb.edu.co/index.php/Franciscanum/about/submissions#onlineSubmissions,40,No,https://revistas.usb.edu.co/index.php/Franciscanum/about,,No,,No,,,,,,,DOI,No,No,Yes,https://revistas.usb.edu.co/index.php/Franciscanum/about,,,B,Philosophy. Psychology. Religion,No,2013-11-04T14:55:45Z,2022-03-10T12:39:48Z,216,2022-03-05T23:38:18Z
Revista Colombiana de Sociología,http://www.revistas.unal.edu.co/index.php/recs,https://doaj.org/toc/cbea7b5a3deb4f94b72aaa74eeeb79ec,1979,,0120-159X,2256-5485,"social conditions, economic conditions, social policies, sociology, social science","English, Spanish, Portuguese",Universidad Nacional de Colombia,Colombia,,,CC BY-NC-ND,,http://www.revistas.unal.edu.co/index.php/recs/about/submissions#copyrightNotice,Yes,http://www.revistas.unal.edu.co/index.php/recs/article/view/61947,No,,Double blind peer review,http://www.revistas.unal.edu.co/index.php/recs/about/editorialPolicies#peerReviewProcess,No,,http://www.revistas.unal.edu.co/index.php/recs/about/editorialPolicies#focusAndScope,http://www.revistas.unal.edu.co/index.php/recs/about/editorialTeam,http://www.revistas.unal.edu.co/index.php/recs/about/submissions#authorGuidelines,28,No,http://www.revistas.unal.edu.co/index.php/recs/about/submissions#copyrightNotice,,No,,No,http://www.revistas.unal.edu.co/index.php/recs/about/submissions#copyrightNotice,,,http://www.revistas.unal.edu.co/index.php/recs/about,,,DOI,,,Yes,http://www.revistas.unal.edu.co/index.php/recs/about/editorialPolicies#openAccessPolicy,,,HM401-1281,Social Sciences: Sociology (General),No,2013-01-10T18:41:04Z,2017-03-17T17:24:28Z,726,2020-08-29T01:05:17Z
Revista Colombiana de Estadística,https://revistas.unal.edu.co/index.php/estad,https://doaj.org/toc/4d8d1e40b8c94eaca9a44b6816ec2b55,2000,,,0120-1751,"statistics, probability, modeling, bayesian statistics, biostatistics, applied mathematics",English,Universidad Nacional de Colombia,Colombia,,,CC BY,,https://revistas.unal.edu.co/index.php/estad/about/submissions#copyrightNotice,,,No,https://revistas.unal.edu.co/index.php/estad/about/submissions#copyrightNotice,Double blind peer review,https://revistas.unal.edu.co/index.php/estad/about/editorialPolicies#peerReviewProcess,Yes,https://revistas.unal.edu.co/index.php/estad/index,https://revistas.unal.edu.co/index.php/estad/about/editorialPolicies#focusAndScope,https://revistas.unal.edu.co/index.php/estad/about/editorialTeam,https://revistas.unal.edu.co/index.php/estad/about/submissions#authorGuidelines,32,No,https://revistas.unal.edu.co/index.php/estad,,No,,No,,,,,,,DOI,No,Yes,Yes,https://revistas.unal.edu.co/index.php/estad/about/editorialPolicies#openAccessPolicy,,,HA1-4737,Social Sciences: Statistics,No,2020-02-26T19:18:20Z,2023-01-30T11:13:59Z,729,2019-01-10T17:38:33Z
Estudios de Derecho,https://revistas.udea.edu.co/index.php/red/index,https://doaj.org/toc/5935802757ed4f828182dcfb2bc4f5bd,2012,,0120-1867,2145-6151,"social sciences, law, political science",Spanish,Universidad de Antioquia,Colombia,,,CC BY-NC-SA,,https://revistas.udea.edu.co/index.php/red/about,Yes,https://revistas.udea.edu.co/index.php/red/article/view/340832,Yes,https://revistas.udea.edu.co/index.php/red/about/submissions,Double blind peer review,https://revistas.udea.edu.co/index.php/red/about,No,,https://revistas.udea.edu.co/index.php/red/about,https://revistas.udea.edu.co/index.php/red/about/editorialTeam,https://revistas.udea.edu.co/index.php/red/about/submissions,20,No,https://revistas.udea.edu.co/index.php/red,,No,,No,https://revistas.udea.edu.co/index.php/red,,,,,,,,,Yes,https://revistas.udea.edu.co/index.php/red/about,,,K|K1-7720|JA1-92,Law: Law in general. Comparative and uniform law. Jurisprudence | Political science: Political science (General),No,2020-08-26T14:56:56Z,2020-08-26T14:56:56Z,2444,2023-02-14T12:20:04Z
Anuario Colombiano de Historia Social y de la Cultura,http://www.revistas.unal.edu.co/index.php/achsc,https://doaj.org/toc/7275013e59744f779fc168371283211f,2012,,0120-2456,2256-5647,"history, historiography, latin american history, colombian history","English, Spanish, Portuguese",Universidad Nacional de Colombia,Colombia,"Universidad Nacional de Colombia, Departamento de Historia",,CC BY-ND,,http://www.revistas.unal.edu.co/index.php/achsc/about/submissions#copyrightNotice,Yes,https://revistas.unal.edu.co/index.php/achsc/article/view/95647,No,https://revistas.unal.edu.co/index.php/achsc/about/submissions#copyrightNotice,Double blind peer review,http://www.revistas.unal.edu.co/index.php/achsc/about/editorialPolicies#peerReviewProcess,No,,http://www.revistas.unal.edu.co/index.php/achsc/about/editorialPolicies#focusAndScope,http://www.revistas.unal.edu.co/index.php/achsc/about/editorialTeam,http://www.revistas.unal.edu.co/index.php/achsc/about/submissions#authorGuidelines,43,No,http://www.revistas.unal.edu.co/index.php/achsc/about/editorialPolicies#focusAndScope,,No,,No,,,,,Sherpa/Romeo,https://v2.sherpa.ac.uk/id/publication/8404,DOI,No,No,Yes,http://www.revistas.unal.edu.co/index.php/achsc/about/editorialPolicies#openAccessPolicy,,,D1-2009|F1201-3799,History (General) and history of Europe: History (General) | History America: Latin America. Spanish America,No,2013-01-06T16:55:29Z,2021-07-12T17:41:27Z,1916,2022-12-21T03:12:41Z
Lecturas de Economía,https://revistas.udea.edu.co/index.php/lecturasdeeconomia/,https://doaj.org/toc/7370231166024f2ca563d7972b6be962,2010,,0120-2596,2323-0622,"economics, applied economics, public policy, economic thought, economic history","Spanish, English",Universidad de Antioquia,Colombia,"Universidad de Antioquia, Facultad de Ciencias Económicas",Colombia,CC BY-NC-SA,,https://revistas.udea.edu.co/index.php/lecturasdeeconomia/politicaopenaccess,Yes,https://revistas.udea.edu.co/index.php/lecturasdeeconomia/article/view/344243/20807343,Yes,https://revistas.udea.edu.co/index.php/lecturasdeeconomia/politicaopenaccess,Double blind peer review,https://revistas.udea.edu.co/index.php/lecturasdeeconomia/about,Yes,https://revistas.udea.edu.co/index.php/lecturasdeeconomia/about/submissions,https://revistas.udea.edu.co/index.php/lecturasdeeconomia/about,https://revistas.udea.edu.co/index.php/lecturasdeeconomia/about/editorialTeam,https://revistas.udea.edu.co/index.php/lecturasdeeconomia/about/submissions,21,No,https://revistas.udea.edu.co/index.php/lecturasdeeconomia/about/submissions#authorGuidelines,,No,,No,,"CLOCKSS, PKP PN",,https://portal.issn.org/resource/ISSN/2323-0622,Sherpa/Romeo,https://v2.sherpa.ac.uk/id/publication/37259?template=romeo,DOI,Yes,Yes,Yes,https://revistas.udea.edu.co/index.php/lecturasdeeconomia/politicaopenaccess,,,HC10-1085|HB71-74,Social Sciences: Economic history and conditions | Social Sciences: Economic theory. Demography: Economics as a science,No,2017-01-20T12:26:23Z,2023-02-14T09:24:01Z,1452,2023-01-24T12:19:10Z
Revista Colombiana de Química,https://revistas.unal.edu.co/index.php/rcolquim/index,https://doaj.org/toc/03ce5bb397334716ae4ac3abfb6e19e8,1971,,0120-2804,2357-3791,"organic chemistry, biochemistry, applied chemistry, analytical chemistry, physical chemistry, inorganic chemistry","English, Spanish, Portuguese",Universidad Nacional de Colombia,Colombia,"Universidad Nacional de Colombia, Departamento de Quimica",,CC BY,,http://www.revistas.unal.edu.co/index.php/rcolquim/about/submissions#copyrightNotice,,,Yes,http://www.revistas.unal.edu.co/index.php/rcolquim/about/submissions#copyrightNotice,Double blind peer review,http://www.revistas.unal.edu.co/index.php/rcolquim/about/editorialPolicies#peerReviewProcess,No,,http://www.revistas.unal.edu.co/index.php/rcolquim/index,http://www.revistas.unal.edu.co/index.php/rcolquim/about/editorialTeam,http://www.revistas.unal.edu.co/index.php/rcolquim/about/submissions#authorGuidelines,12,No,https://revistas.unal.edu.co/index.php/rcolquim/index,,No,,No,https://revistas.unal.edu.co/index.php/rcolquim/index,,,http://www.revistas.unal.edu.co/index.php/rcolquim/index,,,,,,Yes,http://www.revistas.unal.edu.co/index.php/rcolquim/about/editorialPolicies#openAccessPolicy,,,QD1-999,Science: Chemistry,No,2013-01-10T20:37:09Z,2018-11-19T17:54:17Z,808,2020-08-29T00:58:17Z
